"Provisional weekly death counts, by selected grouped causes of death c 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20"
"Frequency: Weekly"
"Table: 13-10-0810-01"
"Release date: 2023-05-11"
"Geography: Canada, Province or territory"
""
""

,"Cause of death (ICD-10)  3 4 5 6 13 14 15 16 17 18 19","Intentional self-harm (suicide)"
,"Characteristics 22","Number of deaths"
"Geography, place of occurrence 21","Reference period"
,,"Number"
,"July 23, 2011","5"
,"July 30, 2011","5"
,"August 6, 2011","0"
,"August 13, 2011","0"
,"August 20, 2011","0"
,"August 27, 2011","0"
,"September 3, 2011","0"
,"September 10, 2011","0"
,"September 17, 2011","0"
,"September 24, 2011","0"
,"October 1, 2011","0"
,"October 8, 2011","5"
,"October 15, 2011","0"
,"October 22, 2011","5"
,"October 29, 2011","5"
,"November 5, 2011","0"
,"November 12, 2011","0"
,"November 19, 2011","0"
,"November 26, 2011","0"
,"December 3, 2011","0"
,"December 10, 2011","0"
,"December 17, 2011","0"
,"December 24, 2011","0"
,"December 31, 2011","0"
,"January 7, 2012","5"
,"January 14, 2012","0"
,"January 21, 2012","0"
,"January 28, 2012","0"
,"February 4, 2012","0"
,"February 11, 2012","0"
,"February 18, 2012","0"
,"February 25, 2012","0"
,"March 3, 2012","0"
,"March 10, 2012","0"
,"March 17, 2012","0"
,"March 24, 2012","5"
,"March 31, 2012","0"
,"April 7, 2012","0"
,"April 14, 2012","0"
,"April 21, 2012","0"
,"April 28, 2012","0"
,"May 5, 2012","0"
,"May 12, 2012","5"
,"May 19, 2012","0"
,"May 26, 2012","0"
,"June 2, 2012","0"
,"June 9, 2012","0"
,"June 16, 2012","5"
,"June 23, 2012","0"
,"June 30, 2012","0"
,"July 7, 2012","0"
,"July 14, 2012","0"
,"July 21, 2012","0"
,"July 28, 2012","0"
,"August 4, 2012","0"
,"August 11, 2012","5"
,"August 18, 2012","0"
,"August 25, 2012","5"
,"September 1, 2012","0"
,"September 8, 2012","0"
,"September 15, 2012","0"
,"September 22, 2012","0"
